% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	0	1	241.792	0
0.322	1	0	2	151.48	0
0.323	1	0	3	175.675	0
0.324	1	0	4	214.452	0
0.325	1	0	5	245.872	0
0.326	1	0	6	5319.07	0
0.327	1	0	7	148.072	0
0.328	1	0	8	231.536	0
0.329	1	0	9	184.809	0
0.33	1	0	10	1263.53	0
0.331	1	0	11	220.645	0
0.332	1	0	12	186.722	0
0.333	1	0	13	217.972	0
0.334	1	0	14	157.33	0
0.335	1	0	15	190.973	0
0.336	1	0	16	653.906	0
0.337	1	0	17	684.87	0
0.338	1	0	18	390.524	0
0.339	1	0	19	244.949	0
0.34	1	0	20	5230.33	0
0.341	1	0	21	492.057	0
0.641	1	0	1	244.93	0
0.642	1	0	2	151.406	0
0.643	1	0	3	169.942	0
0.644	1	0	4	215.436	0
0.645	1	0	5	238.898	0
0.646	1	0	6	5318.75	0
0.647	1	0	7	144.833	0
0.648	1	0	8	225.877	0
0.649	1	0	9	189.123	0
0.65	1	0	10	1308.88	0
0.651	1	0	11	228.264	0
0.652	1	0	12	191.742	0
0.653	1	0	13	217.884	0
0.654	1	0	14	156.047	0
0.655	1	0	15	193.281	0
0.656	1	0	16	681.526	0
0.657	1	0	17	727.226	0
0.658	1	0	18	410.119	0
0.659	1	0	19	247.25	0
0.66	1	0	20	5285.26	0
0.661	1	0	21	487.732	0
0.961	1	0	1	247.951	0
0.962	1	0	2	151.268	0
0.963	1	0	3	164.476	0
0.964	1	0	4	216.299	0
0.965	1	0	5	232.108	0
0.966	1	0	6	5318.71	0
0.967	1	0	7	141.662	0
0.968	1	0	8	220.36	0
0.969	1	0	9	193.502	0
0.97	1	0	10	1350.92	0
0.971	1	0	11	236.228	0
0.972	1	0	12	196.906	0
0.973	1	0	13	217.619	0
0.974	1	0	14	154.697	0
0.975	1	0	15	195.503	0
0.976	1	0	16	709.873	0
0.977	1	0	17	773.369	0
0.978	1	0	18	431.225	0
0.979	1	0	19	249.384	0
0.98	1	0	20	5300.09	0
0.981	1	0	21	482.895	0
1.281	1	0	1	250.842	0
1.282	1	0	2	151.068	0
1.283	1	0	3	159.262	0
1.284	1	0	4	217.036	0
1.285	1	0	5	225.503	0
1.286	1	0	6	5318.83	0
1.287	1	0	7	138.56	0
1.288	1	0	8	214.986	0
1.289	1	0	9	197.94	0
1.29	1	0	10	1388.69	0
1.291	1	0	11	244.55	0
1.292	1	0	12	202.215	0
1.293	1	0	13	217.177	0
1.294	1	0	14	153.282	0
1.295	1	0	15	197.632	0
1.296	1	0	16	738.829	0
1.297	1	0	17	823.728	0
1.298	1	0	18	454.003	0
1.299	1	0	19	251.343	0
1.3	1	0	20	5306.83	0
1.301	1	0	21	477.579	0
1.601	1	0	1	253.592	0
1.602	1	0	2	150.806	0
1.603	1	0	3	154.285	0
1.604	1	0	4	217.646	0
1.605	1	0	5	219.085	0
1.606	1	0	6	5319.05	0
1.607	1	0	7	135.526	0
1.608	1	0	8	209.752	0
1.609	1	0	9	202.43	0
1.61	1	0	10	1421.25	0
1.611	1	0	11	253.248	0
1.612	1	0	12	207.67	0
1.613	1	0	13	216.562	0
1.614	1	0	14	151.808	0
1.615	1	0	15	199.659	0
1.616	1	0	16	768.246	0
1.617	1	0	17	878.782	0
1.618	1	0	18	478.634	0
1.619	1	0	19	253.117	0
1.62	1	0	20	5310.66	0
1.621	1	0	21	471.818	0
1.921	1	0	1	255.415	0
1.922	1	0	2	150.927	0
1.923	1	0	3	150.15	0
1.924	1	0	4	218.877	0
1.925	1	0	5	213.655	0
1.926	1	0	6	5318.48	0
1.927	1	0	7	132.605	0
1.928	1	0	8	205.732	0
1.929	1	0	9	206.713	0
1.93	1	0	10	1444.57	0
1.931	1	0	11	262.277	0
1.932	1	0	12	211.646	0
1.933	1	0	13	215.024	0
1.934	1	0	14	150.981	0
1.935	1	0	15	200.802	0
1.936	1	0	16	789.588	0
