timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
100,00001,6,3,0,0,2,1,5.265139,57.000000,7,13.407338,73.000000,8,9.777161,66.000000,4,-5.312865,36.000000,6,-7.722080,31.000000,3,-25.199231,0.000000,5,-25.834929,0.000000,,,,,,
100,00004,6,3,0,0,2,4,25.700487,98.000000,6,2.665908,52.000000,5,-1.380141,44.000000,8,-2.815788,41.000000,4,-3.773297,39.000000,3,-13.284318,20.000000,7,-17.912584,10.000000,,,,,,
100,00006,6,3,0,0,2,6,30.061342,107.000000,3,13.251174,73.000000,6,7.188192,61.000000,4,6.880102,60.000000,8,5.855764,58.000000,5,3.584847,54.000000,7,-6.313085,34.000000,,,,,,
100,00007,6,3,0,0,2,7,29.785951,106.000000,4,10.855007,68.000000,3,8.928517,64.000000,7,-4.099721,38.000000,6,-9.536030,27.000000,5,-11.934868,22.000000,8,-15.239808,16.000000,,,,,,
100,00010,6,3,0,0,2,10,12.730730,72.000000,7,12.956172,72.000000,3,-0.034119,46.000000,6,-3.320990,40.000000,5,-5.795637,35.000000,8,-8.330694,30.000000,4,-15.790738,15.000000,,,,,,
100,00013,6,3,0,0,2,13,93.427684,127.000000,6,3.886378,54.000000,7,2.694780,52.000000,4,0.893181,48.000000,5,-6.373640,34.000000,3,-7.825016,31.000000,8,-7.921777,30.000000,,,,,,
600,00001,12,12,0,0,2,1,-9.294168,28.000000,8,9.462566,65.000000,7,1.166524,49.000000,4,-7.478452,31.000000,3,-10.336330,26.000000,5,-17.014727,12.000000,6,-21.716781,3.000000,,,,,,
600,00004,12,12,0,0,2,4,23.690675,94.000000,5,3.316075,53.000000,7,2.549074,52.000000,6,-0.110544,46.000000,4,-3.405986,39.000000,8,-4.198139,38.000000,3,-25.281832,0.000000,,,,,,
600,00016,12,12,0,0,2,16,9.069987,65.000000,5,29.343666,106.000000,6,15.039274,77.000000,8,-4.264371,38.000000,7,-6.536553,33.000000,4,-6.772434,33.000000,3,-16.536049,13.000000,,,,,,
600,00002,12,12,0,0,2,2,1.710665,50.000000,4,19.529744,86.000000,5,3.262575,53.000000,6,-2.914665,40.000000,7,-3.025243,40.000000,3,-6.097879,34.000000,8,-15.110723,16.000000,,,,,,
600,00006,12,12,0,0,2,6,37.274972,122.000000,7,19.601067,86.000000,3,5.142261,57.000000,8,-0.292433,46.000000,6,-1.814781,43.000000,4,-8.017034,30.000000,5,-13.002576,20.000000,,,,,,
600,00019,12,12,0,0,2,19,1.710413,50.000000,8,19.422864,86.000000,3,2.445235,51.000000,5,-2.762576,41.000000,4,-5.492591,35.000000,6,-10.538403,25.000000,7,-11.614449,23.000000,,,,,,
600,00007,12,12,0,0,2,7,24.160908,95.000000,4,16.307581,79.000000,8,14.288918,75.000000,5,8.524207,64.000000,3,-2.196227,42.000000,6,-12.060272,22.000000,7,-17.365807,11.000000,,,,,,
600,00010,12,12,0,0,2,10,13.087665,73.000000,3,11.110459,69.000000,6,2.229564,51.000000,4,-1.363256,44.000000,7,-4.046236,38.000000,8,-7.402768,31.000000,5,-10.203592,26.000000,,,,,,
600,00008,12,12,0,0,2,8,4.714983,56.000000,4,9.096319,65.000000,5,1.816478,50.000000,7,-2.162862,42.000000,8,-11.476142,23.000000,3,-11.599179,23.000000,6,-32.973671,0.000000,,,,,,
600,00015,12,12,0,0,2,15,0.845728,48.000000,7,21.387128,89.000000,8,12.141742,71.000000,3,-5.749580,35.000000,4,-13.811030,19.000000,5,-14.243099,18.000000,6,-19.198311,8.000000,,,,,,
600,00013,12,12,0,0,2,13,57.947966,127.000000,7,5.426993,57.000000,6,2.207792,51.000000,4,1.019551,48.000000,8,0.070086,47.000000,3,-1.327567,44.000000,5,-10.203335,26.000000,,,,,,
600,00021,12,12,0,0,2,21,-0.207553,46.000000,8,17.834033,82.000000,5,5.355363,57.000000,4,0.249052,47.000000,7,-0.137906,46.000000,3,-6.999431,32.000000,6,-24.400060,0.000000,,,,,,
700,00001,10,11,0,0,2,1,0.662049,48.000000,8,22.874502,92.000000,7,16.700856,80.000000,6,-3.056940,40.000000,3,-4.351628,38.000000,5,-6.569577,33.000000,4,-9.148397,28.000000,,,,,,
700,00004,10,11,0,0,2,4,14.896872,76.000000,7,9.247191,65.000000,8,-2.019981,42.000000,5,-3.521691,39.000000,6,-9.935586,26.000000,4,-11.628360,23.000000,3,-21.501302,3.000000,,,,,,
700,00016,10,11,0,0,2,16,14.921266,76.000000,5,31.215431,109.000000,6,7.512720,62.000000,7,4.514639,55.000000,4,2.720220,52.000000,8,-15.038879,16.000000,3,-16.527376,13.000000,,,,,,
700,00002,10,11,0,0,2,2,5.675812,58.000000,4,6.807993,60.000000,5,5.034470,57.000000,6,2.541349,51.000000,7,-0.916601,45.000000,3,-7.510168,31.000000,8,-7.953662,30.000000,,,,,,
700,00006,10,11,0,0,2,6,34.800859,117.000000,7,13.827383,74.000000,6,0.692735,48.000000,3,0.558922,47.000000,8,-2.287050,42.000000,4,-6.308182,34.000000,5,-7.894285,30.000000,,,,,,
700,00007,10,11,0,0,2,7,17.894179,82.000000,4,21.191474,89.000000,8,5.682412,58.000000,5,1.905641,50.000000,3,-1.478392,43.000000,7,-11.947675,22.000000,6,-18.386445,9.000000,,,,,,
700,00010,10,11,0,0,2,10,11.959065,70.000000,7,8.619937,64.000000,6,-1.372755,44.000000,3,-1.965395,42.000000,4,-5.745503,35.000000,8,-9.145349,28.000000,5,-10.318561,26.000000,,,,,,
700,00008,10,11,0,0,2,8,3.305924,53.000000,5,4.945478,56.000000,4,0.222252,47.000000,3,-7.026561,32.000000,7,-10.669078,25.000000,8,-14.402415,17.000000,6,-29.531407,0.000000,,,,,,
700,00013,10,11,0,0,2,13,61.604461,127.000000,3,3.509486,53.000000,4,1.418977,49.000000,6,-0.587360,45.000000,8,-0.775309,45.000000,7,-2.400696,42.000000,5,-7.743111,31.000000,,,,,,
700,00021,10,11,0,0,2,21,-1.472088,43.000000,8,20.969041,89.000000,5,8.692987,64.000000,3,-0.902349,45.000000,4,-2.202393,42.000000,7,-12.588022,21.000000,6,-14.441310,17.000000,,,,,,
800,00001,15,16,0,0,2,1,-0.297369,46.000000,7,18.629838,84.000000,8,14.836460,76.000000,6,-11.447439,23.000000,3,-11.483600,23.000000,4,-12.224234,22.000000,5,-13.683890,19.000000,,,,,,
800,00004,15,16,0,0,2,4,7.530431,62.000000,7,8.689315,64.000000,5,2.793136,52.000000,6,-9.844939,27.000000,8,-12.872176,20.000000,4,-13.122199,20.000000,3,-17.521172,11.000000,,,,,,
800,00002,15,16,0,0,2,2,11.251781,69.000000,4,2.217701,51.000000,6,0.127744,47.000000,8,-1.473679,43.000000,5,-5.103982,36.000000,3,-6.479354,33.000000,7,-13.958127,18.000000,,,,,,
800,00006,15,16,0,0,2,6,36.542417,120.000000,7,4.004205,54.000000,6,-0.335084,46.000000,3,-3.008674,40.000000,8,-4.210794,38.000000,5,-7.463526,31.000000,4,-12.145204,22.000000,,,,,,
800,00007,15,16,0,0,2,7,17.077719,81.000000,4,18.805812,84.000000,8,5.042051,57.000000,3,2.326496,51.000000,5,-0.259444,46.000000,7,-14.824200,16.000000,6,-17.939318,10.000000,,,,,,
800,00010,15,16,0,0,2,10,2.241424,51.000000,7,4.609665,56.000000,4,-1.540609,43.000000,8,-2.131776,42.000000,3,-2.596634,41.000000,6,-4.179449,38.000000,5,-5.994537,34.000000,,,,,,
800,00008,15,16,0,0,2,8,8.743961,64.000000,5,8.551525,64.000000,4,-2.189477,42.000000,7,-8.390787,29.000000,3,-12.811850,21.000000,8,-14.592591,17.000000,6,-29.620908,0.000000,,,,,,
800,00013,15,16,0,0,2,13,67.767431,127.000000,4,4.406874,55.000000,3,1.718782,50.000000,6,-1.744541,43.000000,7,-4.636261,37.000000,5,-5.053544,36.000000,8,-6.061139,34.000000,,,,,,
800,00014,15,16,0,0,2,14,13.577240,74.000000,3,11.424441,69.000000,8,9.200694,65.000000,7,3.227139,53.000000,4,1.070959,49.000000,5,-20.862417,4.000000,6,-24.516811,0.000000,,,,,,
800,00011,15,16,0,0,2,11,21.421617,90.000000,6,21.688858,90.000000,7,12.064491,71.000000,4,-5.116194,36.000000,5,-6.036653,34.000000,3,-15.681848,15.000000,8,-20.406040,5.000000,,,,,,
800,00015,15,16,0,0,2,15,-5.363308,36.000000,8,17.624248,82.000000,7,17.328410,81.000000,6,-6.554516,33.000000,3,-6.593196,33.000000,5,-16.995277,12.000000,4,-21.071462,4.000000,,,,,,
800,00017,15,16,0,0,2,17,4.764855,56.000000,8,17.174412,81.000000,3,15.935579,78.000000,7,-3.402844,40.000000,4,-9.853397,27.000000,5,-11.576487,23.000000,6,-15.757133,15.000000,,,,,,
800,00018,15,16,0,0,2,18,4.437358,55.000000,8,33.616353,114.000000,3,1.490886,49.000000,4,-8.091424,30.000000,6,-8.167204,30.000000,5,-13.066367,20.000000,7,-14.166573,18.000000,,,,,,
800,00019,15,16,0,0,2,19,7.306881,61.000000,8,24.936971,97.000000,3,0.560613,47.000000,4,-4.626222,37.000000,6,-6.729043,33.000000,5,-9.099082,28.000000,7,-14.613730,17.000000,,,,,,
800,00020,15,16,0,0,2,20,-0.218641,46.000000,3,9.018789,65.000000,4,7.139776,61.000000,5,-3.484807,39.000000,8,-3.584172,39.000000,7,-7.907249,30.000000,6,-21.851628,2.000000,,,,,,
900,00001,15,15,0,0,2,1,-1.087881,44.000000,8,14.327829,75.000000,7,9.635464,66.000000,3,-7.985924,30.000000,5,-7.995311,30.000000,6,-16.100956,14.000000,4,-17.785120,11.000000,,,,,,
900,00004,15,15,0,0,2,4,11.882439,70.000000,5,4.463208,55.000000,8,0.612669,48.000000,6,-1.059295,44.000000,7,-1.131458,44.000000,4,-9.276078,28.000000,3,-14.391955,17.000000,,,,,,
900,00002,15,15,0,0,2,2,6.896676,60.000000,4,7.793364,62.000000,5,-0.033368,46.000000,8,-0.117061,46.000000,6,-5.465047,35.000000,3,-5.938139,34.000000,7,-10.250299,26.000000,,,,,,
900,00006,15,15,0,0,2,6,32.249570,111.000000,5,3.089916,53.000000,3,-5.471937,35.000000,6,-5.704778,35.000000,8,-7.479058,31.000000,7,-8.373364,29.000000,4,-10.949415,24.000000,,,,,,
900,00007,15,15,0,0,2,7,13.894682,74.000000,4,11.088127,69.000000,3,4.753518,56.000000,8,4.738632,56.000000,5,-0.979794,44.000000,6,-9.880401,26.000000,7,-15.214064,16.000000,,,,,,
900,00010,15,15,0,0,2,10,12.847456,72.000000,7,11.787142,70.000000,3,0.596080,48.000000,4,-1.836366,43.000000,5,-2.221217,42.000000,8,-2.319591,42.000000,6,-7.180204,32.000000,,,,,,
900,00008,15,15,0,0,2,8,6.651308,60.000000,5,6.308916,59.000000,4,1.298614,49.000000,7,-3.666846,39.000000,3,-13.216953,20.000000,8,-21.236233,4.000000,6,-24.779668,0.000000,,,,,,
900,00013,15,15,0,0,2,13,58.140019,127.000000,3,11.607001,70.000000,4,3.871668,54.000000,8,-1.894523,43.000000,7,-3.553673,39.000000,5,-7.355890,32.000000,6,-16.527178,13.000000,,,,,,
900,00014,15,15,0,0,2,14,13.780561,74.000000,3,3.967534,54.000000,7,3.666877,54.000000,4,-2.192088,42.000000,6,-6.089477,34.000000,8,-8.596030,29.000000,5,-19.111096,8.000000,,,,,,
900,00011,15,15,0,0,2,11,11.726177,70.000000,6,33.233294,113.000000,7,12.918536,72.000000,5,-7.377144,31.000000,4,-13.317103,20.000000,3,-18.954056,8.000000,8,-20.189638,6.000000,,,,,,
900,00015,15,15,0,0,2,15,2.654131,52.000000,7,16.120152,79.000000,8,3.153025,53.000000,6,-7.042325,32.000000,3,-14.014802,18.000000,5,-20.587931,5.000000,4,-29.877150,0.000000,,,,,,
900,00017,15,15,0,0,2,17,2.727823,52.000000,3,32.458832,112.000000,8,5.344840,57.000000,7,-6.132805,34.000000,4,-10.054105,26.000000,5,-18.087250,10.000000,6,-33.212128,0.000000,,,,,,
900,00018,15,15,0,0,2,18,10.127912,67.000000,8,36.618246,120.000000,3,1.127079,49.000000,6,-6.529146,33.000000,4,-10.444343,25.000000,5,-15.141857,16.000000,7,-19.277348,8.000000,,,,,,
