timestamp,ueImsiComplete,DRB.PdcpSduDelayDl(cellAverageLatency),m_pDCPBytesUL(0),m_pDCPBytesDL(cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID(txBytes),Tot.PdcpSduNbrDl.UEID(txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID(pdcpLatency),txPdcpPduLteRlc,txPdcpPduBytesLteRlc,QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID(txPdcpPduNrRlc)
100,00008,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00015,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00011,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00018,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00017,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00006,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00012,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00021,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00019,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00004,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00009,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00005,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00003,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00016,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00001,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00010,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00007,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00014,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00020,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00013,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00002,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
200,00008,53.747327,0,12063,0,1,0.000000,8.212480,0,0,0.000000,1
200,00015,53.747327,0,12063,0,0,0.000000,0.000000,0,0,0.000000,0
200,00011,53.747327,0,12063,0,1,0.000000,37.747490,1,0,0.000000,0
200,00018,53.747327,0,12063,0,1,0.000000,47.746710,1,0,0.000000,0
200,00017,53.747327,0,12063,1876,179,18760.000000,124.883823,79,828,1048.000000,100
200,00006,53.747327,0,12063,0,0,0.000000,0.000000,0,0,0.000000,0
200,00012,53.747327,0,12063,0,1,0.000000,56.676070,1,0,0.000000,0
200,00021,53.747327,0,12063,1876,179,18760.000000,99.667512,84,880,996.000000,95
200,00019,53.747327,0,12063,0,1,0.000000,66.675290,1,0,0.000000,0
200,00004,53.747327,0,12063,0,0,0.000000,0.000000,0,0,0.000000,0
200,00009,53.747327,0,12063,2610,249,26100.000000,153.381788,172,1803,807.000000,77
200,00005,53.747327,0,12063,1876,179,18760.000000,73.381949,92,964,912.000000,87
200,00003,53.747327,0,12063,0,0,0.000000,0.000000,0,0,0.000000,0
200,00016,53.747327,0,12063,0,1,0.000000,19.819610,0,0,0.000000,1
200,00001,53.747327,0,12063,1949,186,19490.000000,249.396661,178,1865,84.000000,8
200,00010,53.747327,0,12063,0,0,0.000000,0.000000,0,0,0.000000,0
200,00007,53.747327,0,12063,0,0,0.000000,0.000000,0,0,0.000000,0
200,00014,53.747327,0,12063,0,0,0.000000,0.000000,0,0,0.000000,0
200,00020,53.747327,0,12063,0,1,0.000000,71.855420,1,0,0.000000,0
200,00013,53.747327,0,12063,1876,179,18760.000000,104.965164,83,870,1006.000000,96
200,00002,53.747327,0,12063,0,1,0.000000,14.283900,0,0,0.000000,1
300,00008,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00015,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00011,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00018,75.610769,0,18309,0,1,0.000000,0.000000,0,0,0.000000,1
300,00017,75.610769,0,18309,2096,200,20960.000000,297.092215,115,1205,891.000000,85
300,00006,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00012,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00021,75.610769,0,18309,2096,200,20960.000000,172.470692,101,1058,1038.000000,99
300,00019,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00004,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00009,75.610769,0,18309,3448,329,34480.000000,268.575858,84,880,2568.000000,245
300,00005,75.610769,0,18309,2096,200,20960.000000,522.895234,106,1111,985.000000,94
300,00003,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00016,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00001,75.610769,0,18309,6477,618,64770.000000,246.253200,7,73,6404.000000,611
300,00010,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00007,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00014,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00020,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
300,00013,75.610769,0,18309,2096,200,20960.000000,80.538943,104,1090,1006.000000,96
300,00002,75.610769,0,18309,0,0,0.000000,0.000000,0,0,0.000000,0
400,00008,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00015,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00011,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00018,138.450589,0,13853,9,18,90.000000,159.752612,8,4,5.000000,10
400,00017,138.450589,0,13853,3364,321,33640.000000,1208.448674,265,2777,587.000000,56
400,00006,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00012,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00021,138.450589,0,13853,2096,200,20960.000000,65.566324,85,891,1205.000000,115
400,00019,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00004,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00009,138.450589,0,13853,2096,200,20960.000000,641.066527,96,1006,1090.000000,104
400,00005,138.450589,0,13853,2096,200,20960.000000,571.498291,98,1027,1069.000000,102
400,00003,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00016,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00001,138.450589,0,13853,2096,200,20960.000000,151.550206,102,1069,1027.000000,98
400,00010,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00007,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00014,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00020,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
400,00013,138.450589,0,13853,2096,200,20960.000000,109.579738,104,1090,1006.000000,96
400,00002,138.450589,0,13853,0,0,0.000000,0.000000,0,0,0.000000,0
500,00008,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00015,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00011,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00018,150.640643,0,12588,6,15,60.000000,159.459540,5,2,4.000000,10
500,00017,150.640643,0,12588,2096,200,20960.000000,1316.986917,107,1121,975.000000,93
500,00006,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00012,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00021,150.640643,0,12588,2096,200,20960.000000,70.946045,80,838,1258.000000,120
500,00019,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00004,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00009,150.640643,0,12588,2096,200,20960.000000,537.319926,111,1163,933.000000,89
500,00005,150.640643,0,12588,2096,200,20960.000000,583.124263,105,1100,996.000000,95
500,00003,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00016,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00001,150.640643,0,12588,2096,200,20960.000000,325.732984,95,996,1100.000000,105
500,00010,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00007,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00014,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00020,150.640643,0,12588,0,0,0.000000,0.000000,0,0,0.000000,0
500,00013,150.640643,0,12588,2096,200,20960.000000,143.036787,98,1027,1069.000000,102
500,00002,150.640643,0,12588,6,13,60.000000,26.847033,7,3,3.000000,6
600,00008,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00015,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00011,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00018,388.639587,0,15505,7,15,70.000000,26.483563,8,4,3.000000,7
600,00017,388.639587,0,15505,2096,200,20960.000000,1595.641105,107,1121,975.000000,93
600,00006,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00012,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00021,388.639587,0,15505,2096,200,20960.000000,495.061053,105,1100,996.000000,95
600,00019,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00004,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00009,388.639587,0,15505,2096,200,20960.000000,313.414034,101,1058,1038.000000,99
600,00005,388.639587,0,15505,2096,200,20960.000000,1097.431119,98,1027,1069.000000,102
600,00003,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00016,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00001,388.639587,0,15505,5009,478,50090.000000,2297.587773,474,4968,41.000000,4
600,00010,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00007,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00014,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00020,388.639587,0,15505,0,0,0.000000,0.000000,0,0,0.000000,0
600,00013,388.639587,0,15505,2096,200,20960.000000,2207.110621,103,1079,1017.000000,97
600,00002,388.639587,0,15505,9,20,90.000000,128.702051,11,5,4.000000,9
700,00008,217.218685,0,16872,0,0,0.000000,0.000000,0,0,0.000000,0
700,00015,217.218685,0,16872,0,0,0.000000,0.000000,0,0,0.000000,0
