timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
100,00002,111,4,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
100,00008,111,4,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
200,00002,111,4,139,139,1,0,0,21,14,20,1,0,0,7,1677,15,5,1,0,0,0,0,10,6,3,2,0,0,0,5,6,4,6,0,0,2,298,0.248214,3,3,0,0,0,0,0,1,4,1,0,0,0,0,387.583092,0.000000
200,00008,111,4,139,139,1,0,0,21,14,20,1,0,0,7,1677,15,5,1,0,0,0,0,10,6,3,2,0,0,0,5,4,4,3,1,0,0,202,0.148929,1,2,1,0,0,0,0,0,0,2,2,0,0,0,832.351546,0.000000
200,00001,111,4,139,139,1,0,0,21,14,20,1,0,0,7,1677,15,5,1,0,0,0,0,10,6,3,2,0,0,0,5,5,3,5,0,0,2,535,0.741861,5,0,0,0,0,0,0,3,2,0,0,0,0,0,22585.957502,9740.000000
200,00007,111,4,139,139,1,0,0,21,14,20,1,0,0,7,1677,15,5,1,0,0,0,0,10,6,3,2,0,0,0,5,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
200,00009,111,4,139,139,1,0,0,21,14,20,1,0,0,7,1677,15,5,1,0,0,0,0,10,6,3,2,0,0,0,5,6,3,6,0,0,3,642,0.890233,6,0,0,0,0,0,0,6,0,0,0,0,0,0,6965.772220,9110.000000
300,00002,111,4,139,139,1,4,0,30,12,30,0,0,6,18,3210,30,0,0,0,0,0,9,20,1,0,0,0,0,348157,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.583092,0.000000
300,00008,111,4,139,139,1,4,0,30,12,30,0,0,6,18,3210,30,0,0,0,0,0,9,20,1,0,0,0,0,348157,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832.351546,0.000000
300,00001,111,4,139,139,1,4,0,30,12,30,0,0,6,18,3210,30,0,0,0,0,0,9,20,1,0,0,0,0,348157,7,23,9,23,0,0,14,2461,6.850714,23,0,0,0,0,0,9,13,1,0,0,0,0,115280,19681.888826,8690.000000
