% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	0	1	150.813	0
0.322	1	0	2	2016.55	0
0.323	1	0	3	355.971	0
0.324	1	0	4	365.878	0
0.325	1	0	5	170.08	0
0.326	1	0	6	196.915	0
0.327	1	0	7	151.743	0
0.328	1	0	8	626.258	0
0.329	1	0	9	375.749	0
0.33	1	0	10	152.308	0
0.331	1	0	11	232.738	0
0.332	1	0	12	485.166	0
0.333	1	0	13	293.582	0
0.334	1	0	14	156.246	0
0.641	1	0	1	150.562	0
0.642	1	0	2	2003.43	0
0.643	1	0	3	354.975	0
0.644	1	0	4	366.148	0
0.645	1	0	5	169.829	0
0.646	1	0	6	196.482	0
0.647	1	0	7	151.732	0
0.648	1	0	8	628.349	0
0.649	1	0	9	376.315	0
0.65	1	0	10	151.978	0
0.651	1	0	11	232.074	0
0.652	1	0	12	483.87	0
0.653	1	0	13	293.358	0
0.654	1	0	14	156.532	0
0.961	1	0	1	150.312	0
0.962	1	0	2	1990.44	0
0.963	1	0	3	353.983	0
0.964	1	0	4	366.417	0
0.965	1	0	5	169.579	0
0.966	1	0	6	196.051	0
0.967	1	0	7	151.722	0
0.968	1	0	8	630.45	0
0.969	1	0	9	376.88	0
0.97	1	0	10	151.649	0
0.971	1	0	11	231.413	0
0.972	1	0	12	482.579	0
0.973	1	0	13	293.134	0
0.974	1	0	14	156.818	0
1.281	1	0	1	150.062	0
1.282	1	0	2	1977.57	0
1.283	1	0	3	352.994	0
1.284	1	0	4	366.686	0
1.285	1	0	5	169.329	0
1.286	1	0	6	195.621	0
1.287	1	0	7	151.711	0
1.288	1	0	8	632.561	0
1.289	1	0	9	377.443	0
1.29	1	0	10	151.322	0
1.291	1	0	11	230.754	0
1.292	1	0	12	481.293	0
1.293	1	0	13	292.91	0
1.294	1	0	14	157.105	0
1.601	1	0	1	149.812	0
1.602	1	0	2	1964.82	0
1.603	1	0	3	352.009	0
1.604	1	0	4	366.955	0
1.605	1	0	5	169.079	0
1.606	1	0	6	195.192	0
1.607	1	0	7	151.699	0
1.608	1	0	8	634.682	0
1.609	1	0	9	378.006	0
1.61	1	0	10	150.995	0
1.611	1	0	11	230.098	0
1.612	1	0	12	480.011	0
1.613	1	0	13	292.685	0
1.614	1	0	14	157.393	0
1.921	1	0	1	149.563	0
1.922	1	0	2	1952.19	0
1.923	1	0	3	351.026	0
1.924	1	0	4	367.222	0
1.925	1	0	5	168.83	0
1.926	1	0	6	194.765	0
1.927	1	0	7	151.688	0
1.928	1	0	8	636.814	0
1.929	1	0	9	378.567	0
1.93	1	0	10	150.67	0
1.931	1	0	11	229.444	0
1.932	1	0	12	478.735	0
1.933	1	0	13	292.461	0
1.934	1	0	14	157.682	0
2.241	1	0	1	149.314	0
2.242	1	0	2	1939.67	0
2.243	1	0	3	350.047	0
2.244	1	0	4	367.49	0
2.245	1	0	5	168.581	0
2.246	1	0	6	194.339	0
2.247	1	0	7	151.676	0
2.248	1	0	8	638.956	0
2.249	1	0	9	379.128	0
2.25	1	0	10	150.345	0
2.251	1	0	11	228.793	0
2.252	1	0	12	477.463	0
2.253	1	0	13	292.236	0
2.254	1	0	14	157.971	0
2.561	1	0	1	149.066	0
2.562	1	0	2	1927.28	0
2.563	1	0	3	349.071	0
2.564	1	0	4	367.757	0
2.565	1	0	5	168.333	0
2.566	1	0	6	193.914	0
2.567	1	0	7	151.664	0
2.568	1	0	8	641.108	0
2.569	1	0	9	379.687	0
2.57	1	0	10	150.022	0
2.571	1	0	11	228.145	0
2.572	1	0	12	476.196	0
2.573	1	0	13	292.01	0
2.574	1	0	14	158.261	0
2.881	1	0	1	148.818	0
2.882	1	0	2	1915	0
2.883	1	0	3	348.099	0
2.884	1	0	4	368.023	0
2.885	1	0	5	168.084	0
2.886	1	0	6	193.491	0
2.887	1	0	7	151.652	0
2.888	1	0	8	643.27	0
2.889	1	0	9	380.246	0
2.89	1	0	10	149.7	0
2.891	1	0	11	227.499	0
2.892	1	0	12	474.934	0
2.893	1	0	13	291.785	0
2.894	1	0	14	158.551	0
3.201	1	0	1	148.57	0
3.202	1	0	2	1902.83	0
3.203	1	0	3	347.129	0
3.204	1	0	4	368.289	0
3.205	1	0	5	167.837	0
3.206	1	0	6	193.069	0
3.207	1	0	7	151.639	0
3.208	1	0	8	645.443	0
3.209	1	0	9	380.803	0
3.21	1	0	10	149.378	0
3.211	1	0	11	226.856	0
3.212	1	0	12	473.676	0
3.213	1	0	13	291.559	0
3.214	1	0	14	158.842	0
3.521	1	0	1	148.323	0
3.522	1	0	2	1890.78	0
3.523	1	0	3	346.163	0
3.524	1	0	4	368.554	0
3.525	1	0	5	167.589	0
3.526	1	0	6	192.648	0
3.527	1	0	7	151.626	0
3.528	1	0	8	647.627	0
3.529	1	0	9	381.359	0
3.53	1	0	10	149.058	0
