timestamp,ueId,nrCellId
100,1,3
100,2,3
100,3,4
100,5,6
100,6,5
100,7,5
100,8,7
100,9,3
100,10,6
100,11,6
100,12,4
100,13,7
100,14,4
200,1,7
200,2,5
200,3,5
200,4,3
200,5,4
200,6,5
200,7,7
200,8,6
200,9,8
200,11,3
200,12,5
200,13,3
200,14,4
300,1,7
300,2,4
300,3,8
300,4,7
300,7,7
300,9,4
300,11,5
300,13,6
400,1,4
400,2,7
400,3,6
400,6,8
400,7,8
400,8,3
400,9,5
400,10,4
400,11,7
400,12,3
400,13,5
500,1,4
500,2,8
500,4,4
500,5,8
500,6,5
500,8,4
500,9,5
500,10,4
500,11,3
500,13,4
500,14,5
600,1,8
600,2,8
600,3,7
600,4,7
600,5,4
600,6,7
600,7,4
600,8,8
600,9,8
600,10,6
600,11,8
600,12,4
600,14,7
700,1,8
700,2,3
700,3,6
700,4,8
700,5,6
700,7,6
700,8,4
700,9,3
700,10,7
700,11,3
700,12,4
700,13,7
700,14,4
800,1,4
800,2,3
800,3,7
800,4,6
800,5,8
800,6,4
800,7,6
800,8,3
800,9,6
800,10,6
800,11,7
800,12,3
800,13,4
900,1,4
900,3,6
900,5,5
900,7,8
900,8,4
900,9,5
900,10,3
900,11,4
900,12,4
900,13,6
1000,1,3
1000,2,8
1000,4,3
1000,6,3
1000,7,3
1000,8,3
1000,9,5
1000,10,5
1000,11,3
1000,12,8
1000,13,3
1000,14,8
1100,1,4
1100,3,8
1100,4,5
1100,6,3
1100,7,6
1100,9,5
1100,10,4
1100,11,5
1100,12,7
1100,13,7
1100,14,8
1200,1,6
1200,2,5
1200,3,4
1200,4,5
1200,5,5
1200,6,3
1200,9,8
1200,10,4
1200,11,7
1200,12,3
1200,13,5
1200,14,4
1300,1,3
1300,2,3
1300,3,5
1300,4,6
1300,5,4
1300,6,8
1300,8,7
1300,9,5
1300,10,8
1300,11,8
1300,14,6
1400,1,7
1400,3,3
1400,4,5
1400,5,7
1400,6,3
1400,7,4
1400,8,6
1400,10,6
1400,12,3
1400,13,4
1400,14,7
1500,1,3
1500,3,8
1500,4,3
1500,5,8
1500,8,5
1500,9,3
1500,10,8
1500,11,6
1500,12,6
1500,14,5
1600,1,6
1600,2,5
1600,3,8
1600,5,3
1600,6,5
1600,7,3
1600,8,4
1600,9,3
1600,10,8
1600,11,3
1600,12,4
1600,14,6
1700,1,5
1700,2,8
1700,3,5
1700,4,5
1700,5,4
1700,6,8
1700,7,3
1700,8,7
1700,10,8
1700,11,3
1700,12,8
1700,13,5
1700,14,5
1800,1,5
1800,2,3
1800,3,4
1800,4,6
1800,5,5
1800,6,7
1800,7,7
1800,8,3
1800,9,5
1800,10,5
1800,11,3
1800,12,6
1800,14,7
1900,1,5
1900,2,3
1900,3,7
1900,5,7
1900,6,7
1900,7,8
1900,8,6
1900,9,3
1900,10,8
1900,11,7
1900,12,3
1900,14,6
2000,1,5
2000,2,3
2000,3,3
2000,4,8
2000,5,4
2000,6,8
2000,7,8
2000,8,7
2000,9,8
2000,10,7
2000,11,8
2000,12,7
2000,13,7
2000,14,5
2100,1,6
2100,2,8
2100,3,8
2100,5,4
2100,6,6
2100,7,7
2100,8,3
2100,9,8
2100,10,5
2100,11,6
2100,12,6
2100,13,6
2100,14,3
2200,1,3
2200,2,6
2200,3,4
2200,4,7
2200,6,7
2200,7,8
2200,9,8
2200,10,7
2200,11,3
2200,12,8
2200,13,6
2200,14,7
2300,1,8
2300,2,3
2300,3,4
2300,4,7
2300,5,6
2300,6,6
2300,7,4
2300,8,8
2300,9,3
2300,10,4
2300,11,5
2300,12,7
2300,13,6
2300,14,8
2400,1,6
2400,2,6
2400,3,6
2400,6,4
2400,8,6
2400,9,3
2400,10,7
2400,11,5
2400,12,4
2500,1,8
2500,2,6
2500,3,8
2500,4,5
2500,5,6
2500,6,4
2500,7,6
2500,9,7
2500,12,4
2500,13,6
2500,14,8
2600,1,5
2600,3,4
2600,4,7
2600,5,6
2600,7,5
2600,9,4
2600,10,6
2600,11,6
2600,12,6
2600,14,7
2700,1,3
2700,2,3
2700,3,8
2700,4,5
2700,5,5
2700,6,4
2700,7,7
2700,10,5
2700,11,3
2700,12,3
2700,13,8
2700,14,3
2800,1,3
2800,2,7
2800,3,4
2800,4,7
2800,5,6
2800,7,4
2800,8,3
2800,9,8
2800,10,3
2800,11,8
2800,12,8
2800,13,6
2800,14,8
2900,1,8
2900,2,6
2900,3,3
2900,4,3
2900,5,6
2900,6,7
2900,7,4
2900,8,3
2900,9,4
2900,10,8
2900,11,5
2900,12,4
2900,14,7
3000,1,3
3000,2,5
3000,3,5
3000,5,7
3000,6,5
3000,8,8
3000,9,8
3000,10,4
3000,11,3
3000,12,3
3000,13,8
3000,14,5
3100,1,6
3100,2,6
3100,3,6
3100,4,7
3100,5,3
3100,6,5
3100,8,7
3100,9,4
3100,10,7
3100,12,3
3100,13,3
3100,14,3
3200,1,5
3200,2,7
3200,4,8
3200,5,7
3200,6,4
3200,8,4
3200,10,5
3200,11,4
3200,12,6
3200,13,8
3300,4,6
3300,5,7
3300,6,8
3300,7,6
3300,9,6
3300,10,5
3300,11,5
3300,12,5
3300,13,6
3300,14,4
3400,1,6
3400,2,8
3400,3,8
3400,4,8
3400,5,3
3400,6,8
3400,7,8
3400,9,6
3400,10,3
3400,13,6
3400,14,6
3500,2,8
3500,4,8
3500,5,8
3500,6,7
3500,7,4
3500,8,4
3500,9,3
3500,10,3
3500,11,3
3500,12,5
3500,13,3
3500,14,7
3600,1,6
3600,2,4
3600,4,7
3600,6,8
3600,8,3
3600,9,4
3600,10,7
3600,11,5
3600,13,6
3600,14,3
3700,1,3
3700,2,3
3700,3,3
3700,4,5
3700,5,7
3700,6,3
3700,7,3
3700,8,8
3700,9,3
3700,10,5
3700,13,4
3700,14,3
3800,1,8
3800,2,4
3800,4,4
3800,5,3
3800,6,8
3800,7,5
3800,8,4
3800,10,3
3800,11,5
3800,12,6
3800,13,4
3800,14,5
3900,1,7
3900,2,8
3900,5,6
3900,7,7
3900,8,8
3900,9,4
3900,10,3
3900,11,5
3900,12,5
3900,13,4
3900,14,3
4000,1,6
4000,3,8
4000,4,5
4000,5,7
4000,6,6
4000,7,5
4000,8,3
4000,9,5
4000,10,3
4000,12,3
4000,13,8
4100,1,8
4100,2,4
4100,3,8
4100,4,6
4100,5,8
4100,6,5
4100,7,5
4100,9,5
4100,10,5
4100,11,3
4100,12,4
4100,13,8
4200,1,7
4200,2,7
4200,3,4
4200,5,8
4200,6,3
4200,7,3
4200,9,8
4200,10,3
4200,11,5
4200,12,8
4200,13,3
4200,14,4
4300,1,4
4300,2,4
4300,3,4
4300,4,5
4300,5,7
4300,6,4
4300,7,6
4300,8,8
4300,9,7
4300,10,5
4300,11,7
4300,12,8
4300,13,7
4300,14,6
4400,1,3
4400,2,8
4400,3,8
4400,4,4
4400,5,8
4400,6,8
4400,9,7
4400,10,4
4400,11,7
4400,13,3
4400,14,6
4500,1,4
4500,2,4
4500,3,6
4500,4,5
4500,5,6
4500,6,8
4500,7,5
4500,8,8
4500,9,6
4500,10,6
4500,11,3
4500,13,3
4600,1,6
4600,2,3
4600,3,7
4600,4,5
4600,5,5
4600,8,5
4600,9,8
4600,10,5
4600,11,4
4600,12,7
4600,13,4
4600,14,8
4700,1,3
4700,4,8
4700,6,5
4700,7,6
4700,8,6
4700,9,7
4700,10,5
4700,12,4
4700,13,7
4700,14,4
4800,1,8
4800,2,7
4800,3,5
4800,5,6
4800,6,5
4800,7,3
4800,8,5
4800,9,5
4800,10,6
4800,12,3
4800,14,7
4900,1,4
4900,2,3
4900,4,6
4900,5,6
4900,6,8
4900,7,6
4900,8,8
4900,9,5
4900,10,6
4900,11,7
4900,13,5
4900,14,6
