% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.12	0	0	13	1	2	0	349	0
0.121	0	0	13	2	3	0	349	0
0.122	0	0	13	3	4	0	349	0
0.123	0	0	13	4	1	0	349	0
0.124	0	0	13	5	5	0	349	0
0.125	0	0	13	6	6	0	349	0
0.126	0	0	13	7	7	0	349	0
0.127	0	0	13	8	8	0	349	0
0.128	0	0	13	9	9	0	349	0
0.129	0	0	13	10	10	0	349	0
0.13	0	0	14	1	11	0	349	0
0.131	0	0	14	2	12	0	349	0
0.132	0	0	14	3	13	0	349	0
0.133	0	0	14	4	14	0	349	0
0.148	0	0	15	9	2	0	349	0
0.149	0	0	15	10	3	0	349	0
0.15	0	0	16	1	4	0	349	0
0.151	0	0	16	2	1	0	349	0
0.152	0	0	16	3	5	0	349	0
0.153	0	0	16	4	6	0	349	0
0.154	0	0	16	5	7	0	349	0
0.155	0	0	16	6	8	0	349	0
0.156	0	0	16	7	9	0	349	0
0.157	0	0	16	8	10	0	349	0
0.158	0	0	16	9	11	0	349	0
0.159	0	0	16	10	12	0	349	0
0.16	0	0	17	1	13	0	349	0
0.161	0	0	17	2	14	0	349	0
0.176	0	0	18	7	2	0	349	0
0.177	0	0	18	8	3	0	349	0
0.178	0	0	18	9	4	0	349	0
0.179	0	0	18	10	1	0	349	0
0.18	0	0	19	1	5	0	349	0
0.181	0	0	19	2	6	0	349	0
0.182	0	0	19	3	7	0	349	0
0.183	0	0	19	4	8	0	349	0
0.184	0	0	19	5	9	0	349	0
0.185	0	0	19	6	10	0	349	0
0.186	0	0	19	7	11	0	349	0
0.187	0	0	19	8	12	0	349	0
0.188	0	0	19	9	13	0	349	0
0.189	0	0	19	10	14	0	349	0
0.204	0	0	21	5	2	0	349	0
0.205	0	0	21	6	3	0	349	0
0.206	0	0	21	7	4	0	349	0
0.207	0	0	21	8	1	0	349	0
0.208	0	0	21	9	5	0	349	0
0.209	0	0	21	10	6	0	349	0
0.21	0	0	22	1	7	0	349	0
0.211	0	0	22	2	8	0	349	0
0.212	0	0	22	3	9	0	349	0
0.213	0	0	22	4	10	0	349	0
0.214	0	0	22	5	11	0	349	0
0.215	0	0	22	6	12	0	349	0
0.216	0	0	22	7	13	0	349	0
0.217	0	0	22	8	14	0	349	0
0.232	0	0	24	3	2	0	349	0
0.233	0	0	24	4	3	0	349	0
0.234	0	0	24	5	4	0	349	0
0.235	0	0	24	6	1	0	349	0
0.236	0	0	24	7	5	0	349	0
0.237	0	0	24	8	6	0	349	0
0.238	0	0	24	9	7	0	349	0
0.239	0	0	24	10	8	0	349	0
0.24	0	0	25	1	9	0	349	0
0.241	0	0	25	2	10	0	349	0
0.242	0	0	25	3	11	0	349	0
0.243	0	0	25	4	12	0	349	0
0.244	0	0	25	5	13	0	349	0
0.245	0	0	25	6	14	0	349	0
0.26	0	0	27	1	2	0	349	0
0.261	0	0	27	2	3	0	349	0
0.262	0	0	27	3	4	0	349	0
0.263	0	0	27	4	1	0	349	0
0.264	0	0	27	5	5	0	349	0
0.265	0	0	27	6	6	0	349	0
0.266	0	0	27	7	7	0	349	0
0.267	0	0	27	8	8	0	349	0
0.268	0	0	27	9	9	0	349	0
0.269	0	0	27	10	10	0	349	0
0.27	0	0	28	1	11	0	349	0
0.271	0	0	28	2	12	0	349	0
0.272	0	0	28	3	13	0	349	0
0.273	0	0	28	4	14	0	349	0
0.288	0	0	29	9	2	0	349	0
0.289	0	0	29	10	3	0	349	0
0.29	0	0	30	1	4	0	349	0
0.291	0	0	30	2	1	0	349	0
0.292	0	0	30	3	5	0	349	0
0.293	0	0	30	4	6	0	349	0
0.294	0	0	30	5	7	0	349	0
0.295	0	0	30	6	8	0	349	0
0.296	0	0	30	7	9	0	349	0
0.297	0	0	30	8	10	0	349	0
0.298	0	0	30	9	11	0	349	0
0.299	0	0	30	10	12	0	349	0
0.3	0	0	31	1	13	0	349	0
0.301	0	0	31	2	14	0	349	0
0.316	0	0	32	7	2	0	349	0
0.317	0	0	32	8	3	0	349	0
0.318	0	0	32	9	4	0	349	0
0.319	0	0	32	10	1	0	349	0
0.32	0	0	33	1	5	0	349	0
0.321	0	0	33	2	6	0	349	0
0.322	0	0	33	3	7	0	349	0
0.323	0	0	33	4	8	0	349	0
0.324	0	0	33	5	9	0	349	0
0.325	0	0	33	6	10	0	349	0
0.326	0	0	33	7	11	0	349	0
0.327	0	0	33	8	12	0	349	0
0.328	0	0	33	9	13	0	349	0
