timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
100,00001,2,1,0,0,3,1,21.880428,90.000000,2,7.436635,61.000000,4,6.760496,60.000000,7,-5.393093,35.000000,8,-6.765530,33.000000,5,-13.041841,20.000000,6,-21.929460,2.000000,,,,,,
100,00002,2,1,0,0,3,2,11.463155,69.000000,8,9.432759,65.000000,2,5.180980,57.000000,5,-0.098233,46.000000,7,-1.582354,43.000000,4,-9.318679,28.000000,6,-19.961422,6.000000,,,,,,
200,00001,3,3,0,0,3,1,25.122368,97.000000,2,7.556048,62.000000,4,0.709573,48.000000,8,-8.713190,29.000000,7,-12.356851,21.000000,5,-13.701611,19.000000,6,-22.299236,1.000000,,,,,,
200,00002,3,3,0,0,3,2,15.397863,77.000000,8,10.189884,67.000000,2,5.119628,57.000000,5,0.712979,48.000000,7,-4.853722,37.000000,4,-8.846389,29.000000,6,-15.907286,14.000000,,,,,,
200,00009,3,3,0,0,3,9,6.627368,60.000000,8,23.498398,94.000000,7,1.648065,50.000000,2,1.272159,49.000000,5,-3.106495,40.000000,6,-5.130041,36.000000,4,-5.421002,35.000000,,,,,,
300,00004,3,3,0,0,3,4,-11.801037,23.000000,2,20.639687,88.000000,8,10.135173,67.000000,7,7.467123,61.000000,6,-2.887249,41.000000,4,-8.055213,30.000000,5,-9.693189,27.000000,,,,,,
300,00011,3,3,0,0,3,11,-7.270171,32.000000,2,4.443804,55.000000,7,0.720165,48.000000,8,0.583919,48.000000,6,-2.352364,42.000000,5,-5.716876,35.000000,4,-17.800012,10.000000,,,,,,
300,00013,3,3,0,0,3,13,6.637912,60.000000,8,8.595625,64.000000,2,2.520404,51.000000,4,-2.701973,41.000000,5,-8.709955,29.000000,7,-10.477023,25.000000,6,-13.771215,19.000000,,,,,,
500,00008,2,2,0,0,3,8,4.511541,55.000000,4,8.295920,63.000000,2,5.876801,58.000000,5,-0.248429,46.000000,8,-10.559427,25.000000,6,-11.952732,22.000000,7,-27.502898,0.000000,,,,,,
500,00012,2,2,0,0,3,12,3.061576,53.000000,4,13.313260,73.000000,8,6.586229,60.000000,2,3.318538,53.000000,5,-8.838780,29.000000,7,-9.199069,28.000000,6,-12.258881,22.000000,,,,,,
600,00012,2,2,0,0,3,12,1.636985,50.000000,4,11.177107,69.000000,8,7.942113,62.000000,2,1.251642,49.000000,5,-6.392461,33.000000,6,-10.524383,25.000000,7,-12.353187,21.000000,,,,,,
600,00011,2,2,0,0,3,11,0.594941,48.000000,7,5.217873,57.000000,6,3.802332,54.000000,2,0.692494,48.000000,5,-5.087265,36.000000,8,-7.721551,31.000000,4,-8.181541,30.000000,,,,,,
800,00002,3,3,0,0,3,2,8.054619,63.000000,8,19.209349,85.000000,2,6.927766,60.000000,5,-2.158791,42.000000,7,-3.642249,39.000000,4,-12.999511,20.000000,6,-13.367216,19.000000,,,,,,
800,00009,3,3,0,0,3,9,7.592396,62.000000,8,18.844186,84.000000,2,5.120594,57.000000,7,1.521150,49.000000,5,-2.864888,41.000000,6,-4.317470,38.000000,4,-8.833293,29.000000,,,,,,
800,00011,3,3,0,0,3,11,-0.115065,46.000000,7,8.926621,64.000000,6,-0.518180,45.000000,5,-5.975714,34.000000,8,-6.839349,33.000000,2,-7.005190,32.000000,4,-15.956301,14.000000,,,,,,
900,00002,3,3,0,0,3,2,10.242461,67.000000,8,21.654317,90.000000,2,6.619451,60.000000,5,-2.214853,42.000000,7,-5.436201,35.000000,6,-12.332342,22.000000,4,-14.844469,16.000000,,,,,,
900,00008,3,3,0,0,3,8,3.901857,54.000000,4,9.566445,66.000000,5,0.966918,48.000000,8,0.636531,48.000000,2,-3.919010,38.000000,6,-11.687781,23.000000,7,-28.061180,0.000000,,,,,,
900,00012,3,3,0,0,3,12,3.912415,54.000000,8,5.189495,57.000000,2,2.394605,51.000000,6,-4.387078,38.000000,5,-6.257292,34.000000,4,-8.610019,29.000000,7,-13.089423,20.000000,,,,,,
1000,00002,2,2,0,0,3,2,13.145946,73.000000,8,26.267309,99.000000,2,6.511433,59.000000,5,-3.739572,39.000000,7,-4.516780,37.000000,6,-7.124875,32.000000,4,-16.232868,14.000000,,,,,,
1000,00010,2,2,0,0,3,10,-2.393820,42.000000,6,22.795500,92.000000,7,7.755318,62.000000,5,6.783500,60.000000,8,0.239293,47.000000,2,-2.488882,41.000000,4,-13.574436,19.000000,,,,,,
1100,00001,7,7,0,0,3,1,11.488350,70.000000,2,11.838172,70.000000,4,4.567167,56.000000,8,-8.017686,30.000000,7,-9.808777,27.000000,5,-16.918802,12.000000,6,-18.470433,9.000000,,,,,,
1100,00004,7,7,0,0,3,4,-10.671604,25.000000,2,9.503616,66.000000,7,3.215519,53.000000,8,1.127883,49.000000,5,-2.384594,42.000000,4,-7.982090,30.000000,6,-9.018654,28.000000,,,,,,
1100,00007,7,7,0,0,3,7,-10.817529,25.000000,5,15.088852,77.000000,6,8.696528,64.000000,2,3.003794,52.000000,7,-2.535855,41.000000,4,-3.574339,39.000000,8,-19.131230,8.000000,,,,,,
1100,00006,7,7,0,0,3,6,3.679467,54.000000,2,26.949590,101.000000,8,9.920740,66.000000,4,7.211737,61.000000,7,4.799038,56.000000,6,-12.821915,21.000000,5,-16.944259,12.000000,,,,,,
1100,00013,7,7,0,0,3,13,2.851742,52.000000,4,6.453070,59.000000,2,6.432835,59.000000,8,5.399042,57.000000,7,-7.911084,30.000000,6,-9.958689,26.000000,5,-12.676079,21.000000,,,,,,
1100,00008,7,7,0,0,3,8,-0.726547,45.000000,4,7.157621,61.000000,2,1.299175,49.000000,5,-0.553074,45.000000,8,-2.269112,42.000000,6,-12.834223,20.000000,7,-30.702244,0.000000,,,,,,
1100,00011,7,7,0,0,3,11,1.553050,49.000000,7,7.713556,62.000000,5,-1.205292,44.000000,6,-3.079377,40.000000,4,-5.953818,34.000000,2,-6.596807,33.000000,8,-10.366227,25.000000,,,,,,
1200,00006,2,2,0,0,3,6,5.179717,57.000000,2,24.070123,95.000000,8,12.156198,71.000000,4,7.215055,61.000000,7,0.989078,48.000000,6,-12.988675,20.000000,5,-16.964927,12.000000,,,,,,
1200,00008,2,2,0,0,3,8,0.934880,48.000000,4,6.562242,60.000000,5,-0.141837,46.000000,2,-1.335937,44.000000,8,-6.233812,34.000000,6,-15.026326,16.000000,7,-32.975341,0.000000,,,,,,
1300,00006,3,3,0,0,3,6,3.707019,54.000000,2,27.393495,102.000000,8,13.304877,73.000000,4,10.481504,67.000000,7,1.087165,49.000000,6,-11.012933,24.000000,5,-12.264439,22.000000,,,,,,
1300,00008,3,3,0,0,3,8,2.687859,52.000000,4,5.967811,58.000000,2,0.268165,47.000000,5,0.169776,47.000000,8,-0.751904,45.000000,6,-11.676936,23.000000,7,-30.299693,0.000000,,,,,,
1300,00012,3,3,0,0,3,12,-4.624658,37.000000,2,8.833303,64.000000,8,4.575542,56.000000,6,-5.423369,35.000000,4,-8.421806,29.000000,5,-9.117844,28.000000,7,-13.413527,19.000000,,,,,,
1400,00012,3,3,0,0,3,12,-6.203216,34.000000,2,9.951861,66.000000,8,3.255515,53.000000,5,-5.647686,35.000000,6,-6.502008,33.000000,4,-11.019265,24.000000,7,-11.824249,23.000000,,,,,,
1400,00001,3,3,0,0,3,1,15.006194,77.000000,2,18.692771,84.000000,4,1.502114,49.000000,8,-2.173557,42.000000,7,-13.901714,18.000000,6,-18.131254,10.000000,5,-20.474593,5.000000,,,,,,
1400,00002,3,3,0,0,3,2,6.486485,59.000000,8,23.491841,94.000000,5,4.361601,55.000000,2,0.443730,47.000000,7,-4.541550,37.000000,6,-12.740934,21.000000,4,-20.122659,6.000000,,,,,,
1500,00012,4,4,0,0,3,12,-1.164473,44.000000,2,8.678012,64.000000,8,3.597321,54.000000,6,-4.338955,38.000000,5,-6.524103,33.000000,4,-9.307126,28.000000,7,-16.019774,14.000000,,,,,,
1500,00002,4,4,0,0,3,2,6.262538,59.000000,8,20.701689,88.000000,2,2.660638,52.000000,5,0.208623,47.000000,7,-5.707205,35.000000,6,-11.286831,24.000000,4,-21.445741,3.000000,,,,,,
1500,00003,4,4,0,0,3,3,11.548551,70.000000,6,15.803244,78.000000,5,13.963376,75.000000,2,4.984033,56.000000,4,1.219314,49.000000,8,-0.130513,46.000000,7,-4.997896,36.000000,,,,,,
1500,00006,4,4,0,0,3,6,4.645462,56.000000,2,27.376650,102.000000,8,13.294333,73.000000,4,6.557183,60.000000,7,-4.746803,37.000000,5,-11.246187,24.000000,6,-11.971813,22.000000,,,,,,
1600,00002,5,5,0,0,3,2,10.274063,67.000000,8,19.831338,86.000000,2,2.952553,52.000000,5,2.817774,52.000000,7,-8.205299,30.000000,6,-12.015080,22.000000,4,-22.935440,0.000000,,,,,,
1600,00006,5,5,0,0,3,6,-0.094515,46.000000,2,27.452501,102.000000,8,13.992248,75.000000,4,10.675488,68.000000,7,-7.861582,31.000000,6,-11.189413,24.000000,5,-14.625543,17.000000,,,,,,
1600,00001,5,5,0,0,3,1,18.462819,84.000000,2,16.914154,80.000000,4,1.817328,50.000000,8,-2.516330,41.000000,7,-10.334015,26.000000,5,-18.201939,10.000000,6,-20.700465,5.000000,,,,,,
1600,00004,5,5,0,0,3,4,-8.654861,29.000000,7,6.142369,59.000000,2,4.108931,55.000000,8,1.331682,49.000000,5,0.721148,48.000000,4,-4.475305,37.000000,6,-12.251851,22.000000,,,,,,
1600,00009,5,5,0,0,3,9,6.394923,59.000000,8,32.285255,111.000000,2,6.642624,60.000000,7,0.428008,47.000000,6,-3.099166,40.000000,5,-3.497539,39.000000,4,-16.797532,13.000000,,,,,,
1700,00004,5,5,0,0,3,4,-5.891514,34.000000,7,9.958429,66.000000,2,4.590638,56.000000,5,-0.579670,45.000000,8,-2.868389,41.000000,4,-5.454195,35.000000,6,-6.629639,33.000000,,,,,,
1700,00009,5,5,0,0,3,9,0.649309,48.000000,8,28.719813,104.000000,2,10.430904,67.000000,7,0.075517,47.000000,6,-1.603974,43.000000,5,-5.738831,35.000000,4,-11.298701,24.000000,,,,,,
1700,00005,5,5,0,0,3,5,-28.383682,0.000000,5,26.900696,101.000000,7,-4.729881,37.000000,2,-4.773306,37.000000,4,-13.689208,19.000000,8,-17.400934,11.000000,6,-17.579463,11.000000,,,,,,
1700,00007,5,5,0,0,3,7,-11.621532,23.000000,6,9.900956,66.000000,2,7.014720,61.000000,5,3.235749,53.000000,7,-9.863093,26.000000,4,-15.056902,16.000000,8,-30.444347,0.000000,,,,,,
1700,00011,5,5,0,0,3,11,7.687853,62.000000,7,20.704775,88.000000,8,-0.357473,46.000000,4,-1.982814,42.000000,2,-2.473570,41.000000,6,-3.713374,39.000000,5,-5.143985,36.000000,,,,,,
1800,00009,3,3,0,0,3,9,2.275501,51.000000,8,30.397048,108.000000,2,11.215195,69.000000,7,1.244438,49.000000,6,-3.140575,40.000000,5,-5.051189,36.000000,4,-9.203005,28.000000,,,,,,
1800,00007,3,3,0,0,3,7,-13.994445,18.000000,2,8.705299,64.000000,6,7.439904,61.000000,5,5.460547,57.000000,7,-8.536740,29.000000,4,-15.082782,16.000000,8,-22.786714,0.000000,,,,,,
1800,00011,3,3,0,0,3,11,6.858214,60.000000,7,20.130611,87.000000,6,10.197337,67.000000,8,-0.586365,45.000000,4,-3.034596,40.000000,2,-8.255213,30.000000,5,-9.629830,27.000000,,,,,,
1900,00011,3,3,0,0,3,11,3.426392,53.000000,7,18.160103,83.000000,6,15.490632,78.000000,8,5.572223,58.000000,4,-0.629313,45.000000,2,-6.111117,34.000000,5,-9.458742,27.000000,,,,,,
