timestamp,ueImsiComplete,DRB.PdcpSduDelayDl(cellAverageLatency),m_pDCPBytesUL(0),m_pDCPBytesDL(cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID(txBytes),Tot.PdcpSduNbrDl.UEID(txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID(pdcpLatency),txPdcpPduLteRlc,txPdcpPduBytesLteRlc,QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID(txPdcpPduNrRlc)
100,00004,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00006,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00013,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00002,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00012,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00009,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00005,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00003,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00007,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00014,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00010,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00011,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00008,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
100,00001,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
200,00004,253.857938,0,26264,1876,179,18760.000000,110.592005,86,901,975.000000,93
200,00006,253.857938,0,26264,1876,179,18760.000000,293.045251,87,912,964.000000,92
200,00013,253.857938,0,26264,1876,179,18760.000000,316.191873,95,996,880.000000,84
200,00002,253.857938,0,26264,1876,179,18760.000000,247.815206,86,901,975.000000,93
200,00012,253.857938,0,26264,1876,179,18760.000000,237.474063,95,996,880.000000,84
200,00009,253.857938,0,26264,1876,179,18760.000000,289.659176,91,954,922.000000,88
200,00005,253.857938,0,26264,1876,179,18760.000000,252.270521,87,912,964.000000,92
200,00003,253.857938,0,26264,1876,179,18760.000000,278.571191,91,954,922.000000,88
200,00007,253.857938,0,26264,1876,179,18760.000000,342.358091,90,943,933.000000,89
200,00014,253.857938,0,26264,1876,179,18760.000000,267.638438,85,891,985.000000,94
200,00010,253.857938,0,26264,1876,179,18760.000000,202.984448,90,943,933.000000,89
200,00011,253.857938,0,26264,1876,179,18760.000000,282.438280,95,996,880.000000,84
200,00008,253.857938,0,26264,1876,179,18760.000000,285.261377,83,870,1006.000000,96
200,00001,253.857938,0,26264,1876,179,18760.000000,147.711211,85,891,985.000000,94
300,00004,702.286835,0,29344,2096,200,20960.000000,675.386774,82,859,1237.000000,118
300,00006,702.286835,0,29344,2096,200,20960.000000,738.534140,110,1153,943.000000,90
300,00013,702.286835,0,29344,2096,200,20960.000000,882.810159,112,1174,922.000000,88
300,00002,702.286835,0,29344,2096,200,20960.000000,703.339409,96,1006,1090.000000,104
300,00012,702.286835,0,29344,2096,200,20960.000000,753.496791,96,1006,1090.000000,104
300,00009,702.286835,0,29344,2096,200,20960.000000,399.506881,100,1048,1048.000000,100
300,00005,702.286835,0,29344,2096,200,20960.000000,666.744940,99,1038,1058.000000,101
300,00003,702.286835,0,29344,2096,200,20960.000000,732.266540,114,1195,901.000000,86
300,00007,702.286835,0,29344,2096,200,20960.000000,685.282562,101,1058,1038.000000,99
300,00014,702.286835,0,29344,2096,200,20960.000000,654.547740,114,1195,901.000000,86
300,00010,702.286835,0,29344,2096,200,20960.000000,776.201169,100,1048,1048.000000,100
300,00011,702.286835,0,29344,2096,200,20960.000000,747.880140,101,1058,1038.000000,99
300,00008,702.286835,0,29344,2096,200,20960.000000,691.812540,93,975,1121.000000,107
300,00001,702.286835,0,29344,2096,200,20960.000000,724.205906,95,996,1100.000000,105
400,00004,1173.745058,0,29344,2096,200,20960.000000,1203.720209,98,1027,1069.000000,102
400,00006,1173.745058,0,29344,2096,200,20960.000000,1216.934140,94,985,1111.000000,106
400,00013,1173.745058,0,29344,2096,200,20960.000000,1319.258540,99,1038,1058.000000,101
400,00002,1173.745058,0,29344,2096,200,20960.000000,1191.577340,83,870,1226.000000,117
400,00012,1173.745058,0,29344,2096,200,20960.000000,1261.623726,108,1132,964.000000,92
400,00009,1173.745058,0,29344,2096,200,20960.000000,957.929573,98,1027,1069.000000,102
400,00005,1173.745058,0,29344,2096,200,20960.000000,1137.044940,101,1058,1038.000000,99
400,00003,1173.745058,0,29344,2096,200,20960.000000,1212.166540,113,1184,912.000000,87
