timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
100,00008,111,4,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
100,00012,111,4,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
200,00012,111,4,139,139,1,16,0,125,74,125,0,0,23,51,16791,119,6,0,0,0,0,45,15,63,2,0,0,0,336918,3,64,54,64,0,0,10,10082,16.382143,62,2,0,0,0,0,0,4,58,2,0,0,0,102003,7249.697619,4920.000000
200,00003,111,4,139,139,1,16,0,125,74,125,0,0,23,51,16791,119,6,0,0,0,0,45,15,63,2,0,0,0,336918,3,24,10,24,0,0,14,2750,2.448141,20,4,0,0,0,0,8,11,5,0,0,0,0,112987,12639.540316,4500.000000
200,00014,111,4,139,139,1,16,0,125,74,125,0,0,23,51,16791,119,6,0,0,0,0,45,15,63,2,0,0,0,336918,3,37,10,37,0,0,27,3959,5.489771,37,0,0,0,0,0,37,0,0,0,0,0,0,121928,25125.341708,4500.000000
300,00014,111,4,139,139,1,12,0,95,23,95,0,0,17,72,9505,95,0,0,0,0,0,93,2,0,0,0,0,0,482844,2,47,11,47,0,0,36,5029,13.999286,47,0,0,0,0,0,45,2,0,0,0,0,0,233681,25125.341708,5240.000000
300,00005,111,4,139,139,1,12,0,95,23,95,0,0,17,72,9505,95,0,0,0,0,0,93,2,0,0,0,0,0,482844,2,48,12,48,0,0,36,4476,4.159601,48,0,0,0,0,0,48,0,0,0,0,0,0,249163,25125.341708,5240.000000
400,00014,111,4,139,139,1,16,0,138,39,138,0,0,23,99,13042,138,0,0,0,0,0,121,17,0,0,0,0,0,1209175,4,36,9,36,0,0,27,3852,10.722857,36,0,0,0,0,0,35,1,0,0,0,0,0,363774,25125.341708,5240.000000
400,00005,111,4,139,139,1,16,0,138,39,138,0,0,23,99,13042,138,0,0,0,0,0,121,17,0,0,0,0,0,1209175,4,36,9,36,0,0,27,3852,10.722857,36,0,0,0,0,0,36,0,0,0,0,0,0,377946,25125.341708,5240.000000
400,00002,111,4,139,139,1,16,0,138,39,138,0,0,23,99,13042,138,0,0,0,0,0,121,17,0,0,0,0,0,1209175,4,41,11,41,0,0,30,3268,2.291685,41,0,0,0,0,0,41,0,0,0,0,0,0,334570,6728.859391,5240.000000
